annee,boite,carburant,departement,kilometrage,prix,titre,ville
2019,Manuelle,Diesel,39200,132,9490,PEUGEOT 308 1.5 BLUEHDI 100 132000 2019 1°MAIN,Saint-Claude
2016,Automatique,Diesel,6200,24600,24300,CLASSE B 200 D FASCINATION 7G-DCT AMG,Nice
2015,Automatique,Diesel,59890,83783,26990,MERCEDES CLASSE CLA 220 CDI 177 CH BVA GPS FASCINATION 83.783KM,Quesnoy-sur-Deûle
2015,Automatique,Essence,83660,124000,32990,CLA 45 AMG,Carnoules
2020,Automatique,Essence,31000,9010,47890,MERCEDES GLA 250 4M AMG LINE TOIT OUVRANT - AUTRES DISPO,Toulouse
2018,Automatique,Essence,31000,36290,36290,MERCEDES A 250 AMG LINE 224 CH - EDITION ONE 1,Toulouse
2018,Manuelle,Essence,14650,60000,27490,MERCEDES CLA CLASSE 200 1.6 I 156 CH PACK AMG - GARANTIE 6 MOIS,Carpiquet
2016,Automatique,Diesel,73460,60000,23990,CLASSE B 220D 177 FASCINATION 4MATIC 7G-DCT AMG LINE 04/2016 TOIT PANO SEMI CUIR CAMERA,Frontenex
2011,Manuelle,Diesel,39200,164,7990,LANCIA DELTA III 2.0 MULTIJET 165 LUSSO LUXE 2011,Saint-Claude
2018,Automatique,Essence,75005,52000,24298,BMW 120I LCI F20 PACK M 184CH GARANTIE BMW 12 MOIS,Paris
2013,Manuelle,Essence,42270,76000,19590,MERCEDES CLA CLASSE 180 1.6 122 CH EDITION ONE,Saint-Priest-en-Jarez
2020,Automatique,Diesel,56500,21001,32290,MERCEDES CLA CLASSE COUPE 200 D 8G-DCT PROGRESSIVE LINE 4P,Moréac
2012,Manuelle,Diesel,67000,12500,12950,MERCEDES-BENZ B180 CDI 2EME MAIN CUIR BEIGE BI-XENON GPS PACK SPORT PACK NUIT 125000 KMS,Strasbourg
2014,Automatique,Diesel,26000,114000,20500,MERCEDES CLA 220CDI,Valence
2020,Automatique,Diesel,34070,25000,35499,MERCEDES CLA CLASSE COUPE 180 D 7G-DCT AMG,Montpellier Croix d'Argent
2005,Automatique,Essence,13200,139000,39900,MERCEDES G 500 V8 AMG GARANTIE 12 MOIS,Arles
2017,Automatique,Diesel,59136,86200,25990,CLA 220D SHOOTING BRAKE 7G-DCT AMG LINE 86200KMS 07/2017 CUIR SPORT/TOIT OUVRANT/GRD GPS EUROPE/1*M,Wavrin
2020,Automatique,Essence,52000,10100,37000,MERCEDES CLA,Chaumont
2017,Automatique,Essence,1100,23000,32990,MERCEDES CLA 250 2.0 CHAINE 218 SPORT 4MATIC 23000 2016 1°MAIN [GARANTIE1AN],Oyonnax
2017,Manuelle,Diesel,13008,34155,22690,MERCEDES CLA CLASSE 180 D FASCINATION,Marseille 8e Arrondissement
2019,Automatique,Diesel,42100,35000,40900,MERCEDES CLA 220D AMG EDITION ONE,Saint-Etienne
2019,Automatique,Diesel,57500,10570,34250,MERCEDES CLASSE C -31% 220D BVA 194CV +OPTIONS,Saint-Avold
2019,Automatique,Diesel,77240,32670,28990,MERCEDES CLA CLASSE SHOOTING BRAKE 200 D STARLIGHT EDITION 7G-DCT EURO6C,Vert-Saint-Denis
2014,Automatique,Essence,26600,160000,25900,MERCEDES CLA 45 AMG 2.0 360 CV FULL OPTIONS,Granges-les-Beaumont
2014,Automatique,Diesel,38190,169999,18490,MERCEDES CLA 220 D 170 FASCINATION GRAND GPS / CAMERA /SUIVIE COMPLET MERCEDES/ PARK ASSIST,Froges
2013,Automatique,Diesel,76330,138000,18990,MERCEDES CLA PACK AMG 200 CDI,Port-Jérôme-sur-Seine Notre-Dame-de-Gravenchon
2019,Automatique,Essence,34430,43000,36989,MERCEDES CLA II 200 AMG LINE 7G-DCT EDITION ONE,Saint-Jean-de-Védas
2017,Automatique,Diesel,7600,94000,22500,MERCEDES CLA 2017 * BOITE AUTO / DIESEL,Vals-les-Bains
2017,Automatique,Diesel,51430,68000,27990,MERCEDES CLA CLASSE SHOOTING BRAKE 220 D 7-G DCT,Tinqueux
2020,Automatique,Diesel,93340,13300,41990,MERCEDES CLA CLASSE COUPE 220D AMG LINE EDITION 8G,Le Raincy
2019,Automatique,Essence,74800,44000,54900,MERCEDES CLA 35 AMG 4MATIC 306 CH / PACK NIGHT / PACK PREMIUM / BURMESTER / PACK SPORT AMG / TO,La Roche-sur-Foron
2014,Automatique,Essence,16400,97000,19500,MERCEDES CLA CLASSE 180 SENSATION 7G-DGT 122CV,Puymoyen
2014,Automatique,Diesel,69440,132000,23000,MERCEDES CLA 220,Chabanière
2020,Automatique,Diesel,69400,21600,35900,MERCEDES CLASSE A 200 CDI 150CV W177 AMG BOITE AUTO 8G-DCT 21.600 KM 2020,Arnas
2019,Automatique,Essence,75017,35250,36990,MERCEDES CLA CLASSE 200 7G-DCT AMG LINE,Paris 17e Arrondissement
2018,Automatique,Diesel,83860,87400,27990,MERCEDES GLA 220D / 4X4 / PACK AMG / 1ERE MAIN / ORIGINE FRANCE / PACK WHITEART EDITION,Nans-les-Pins
2018,Automatique,Essence,6300,39500,31980,MERCEDES CLASSE CLA 220 4 MATIC PACK AMG / TOIT PANO - 39500 KM - GARANTIE 24 MOIS JUNGE STERNE,Nice
2014,Automatique,Diesel,29410,56650,20900,MERCEDES-BENZ CLASSE CLA I 1.8 CDI [200] 136 CH SENSATION 7G-DCT,Pleyber-Christ La Justice
2017,Automatique,Diesel,74380,81000,24999,MERCEDES CLA 220 PHASE 2 SENSATION GRAND GPS CUIR CAMÉRA BOÎTE AUTO,Cranves-Sales
2019,Manuelle,Diesel,66270,21250,35490,MERCEDES CLA CLASSE SHOOTING BRAKE 220D FASCINATION 7-G DCT,Le Soler
2015,Automatique,Diesel,59890,83783,26990,MERCEDES CLASSE CLA 220 CDI 177 CH BVA GPS FASCINATION 83.783KM,Quesnoy-sur-Deûle
2019,Automatique,Essence,72650,50171,25690,MERCEDES CLA CLASSE SHOOTING BRAKE 180 7G-DCT SENSATION TOIT PANO+CAMERA,La Chapelle-Saint-Aubin
2020,Automatique,Essence,69150,13990,36990,MERCEDES CLA CLASSE SHOOTING BRAKE 200 AMG 7G-DCT,Décines-Charpieu
2018,Automatique,Essence,54520,37946,28808,MERCEDES CLA CLASSE SHOOTING BRAKE 200 7-G DCT A WHITE ART EDITION,Laxou
2018,Automatique,Essence,13170,29000,30000,MERCEDES CLASSE A A250 250 7G-DCT PROGRESSIVE 8,Les Pennes-Mirabeau
2016,Automatique,Diesel,73460,60000,23990,CLASSE B 220D 177 FASCINATION 4MATIC 7G-DCT AMG LINE 04/2016 TOIT PANO SEMI CUIR CAMERA,Frontenex
2018,Automatique,Diesel,71330,93711,28990,MERCEDES CLA CLASSE 220 D SENSATION 7G-DCT,Simard
2020,Automatique,Essence,13170,13500,33790,MERCEDES CLA CLASSE SHOOTING BRAKE 180 AMG LINE 8,Les Pennes-Mirabeau
2018,Automatique,Essence,13170,29518,27800,MERCEDES CLASSE A A200 200 PROGRESSIVE 7G-DCT 8,Les Pennes-Mirabeau
2018,Manuelle,Essence,13170,18159,26000,MERCEDES CLASSE A A200 PROGRESSIVE GPS 8,Les Pennes-Mirabeau
2018,Automatique,Diesel,66270,20700,33690,MERCEDES CLA CLASSE 220 D FASCINATION 7-G DCT,Le Soler
2015,Automatique,Diesel,6000,93500,21990,MERCEDES CLA CLASSE SHOOTING BRAKE CDI 220,Nice Madeleine
2016,Manuelle,Diesel,59420,71688,18800,MERCEDES CLA (2) SHOOTING BRAKE 180 D INSPIRATION CAMÉRA GPS,Mouvaux
2005,Automatique,Essence,13200,139000,39900,MERCEDES G 500 V8 AMG GARANTIE 12 MOIS,Arles
2019,Automatique,Diesel,13170,10290,35700,MERCEDES CLASSE A A220 D A220D 190 AMG 19 7GDCT 8,Les Pennes-Mirabeau
2013,Automatique,Diesel,78120,138400,19900,MERCEDES CLASSE CLA 220 CDI BA FASCINATION,Rambouillet
2018,Automatique,Diesel,33600,60966,27290,MERCEDES CLA CLASSE SHOOTING BRAKE 200 D 7G-DCT FASCINATION,Pessac
2013,Automatique,Essence,69800,112000,29990,MERCEDES CLA CLASSE 45 AMG FULL GARANTIE,Saint-Priest
2015,Automatique,Diesel,49310,104427,20090,MERCEDES CLA CLASSE 200 CDI FASCINATION 7-G DCT A,Montilliers
2018,Automatique,Diesel,33650,49300,25490,MERCEDES CLA CLASSE SHOOTING BRAKE 200 D 7G-DCT BUSINESS EDITION GPS + CAMÉRA,Saint-Médard-d'Eyrans
2020,Automatique,Essence,13170,800,27000,MERCEDES CLASSE A A180 180 PROGRESSIVE 7G DCT 8,Les Pennes-Mirabeau
2020,Automatique,Essence,13170,1128,31800,MERCEDES CLASSE A A180D 180D AMG 8,Les Pennes-Mirabeau
2015,Automatique,Diesel,59350,114000,19990,MERCEDES CLA 220 BREAK 2.1 CDI 163CV BOÎTE AUTO GPS CUIR TOIT PANORAMIQUE,Saint-André-lez-Lille
2019,Automatique,Essence,13170,25500,28000,MERCEDES CLASSE A A220 220 7GDCT PROGRESSIVE 8,Les Pennes-Mirabeau
2021,Automatique,Diesel,69009,8450,43993,MERCEDES CLA CLASSE SHOOTING BRAKE 220 D 8G-DCT AMG LINE,Lyon 9e Arrondissement
2020,Automatique,Essence,13170,11932,31500,MERCEDES CLASSE A A200 200 163 AMG 7G-DCT 8,Les Pennes-Mirabeau
2014,Manuelle,Diesel,6000,115000,17590,MERCEDES CLASSE C BLUETEC 220,Nice Madeleine
2018,Automatique,Diesel,91200,59000,23990,MERCEDES CLA CLASSE SHOOTING 200D BUSINESS BVA 1H,Athis-Mons
2019,Automatique,Diesel,76000,32000,45000,MERCEDES CLASSE E 220D CABRIOLET AMG LINE 9G-TRONIC,Rouen
2019,Automatique,Diesel,76000,32000,45000,MERCEDES CLASSE E 220D CABRIOLET AMG LINE 9G-TRONIC,Rouen
2016,Automatique,Essence,42270,65000,44990,MERCEDES CLA CLASSE 45 AMG PERF AERO 381 CH 4MATIC,Saint-Priest-en-Jarez
2020,Automatique,Diesel,13170,1950,35000,MERCEDES CLASSE A A200 D A200D 150 AMG 8,Les Pennes-Mirabeau
2019,Automatique,Essence,13170,18400,30500,MERCEDES CLA CLASSE SHOOTING BRAKE 180 DCT PROG 8,Les Pennes-Mirabeau
2017,Automatique,Diesel,69540,177000,19490,MERCEDES CLA CLASSE 220D FASCINATION 177CX 7G -DCT,Irigny
2015,Manuelle,Diesel,10150,104201,18900,MERCEDES CLA CLASSE SENSATION 180 CDI,Lavau
2015,Manuelle,Essence,19100,43600,26000,VOITURE MERCEDES,Brive-la-Gaillarde
2014,Automatique,Diesel,33000,92000,22900,MERCEDES CLA CLASSE 220 FULL OPTION,Bordeaux
2013,Automatique,Diesel,34000,160000,16900,MERCEDES CLA CLASSE 220 CDI 7-G DCT,Montpellier
2015,Automatique,Diesel,59890,83783,26990,MERCEDES CLASSE CLA 220 CDI 177 CH BVA GPS FASCINATION 83.783KM,Quesnoy-sur-Deûle
2021,Automatique,Hybride,78200,988,47200,MERCEDES CLA CLASSE SHOOTING BRAKE AMG LINE 250E 8G-DCT + P,Buchelay
2015,Manuelle,Diesel,78200,104258,18900,MERCEDES CLA CLASSE SENSATION 180 CDI,Buchelay
2019,Manuelle,Essence,94320,41800,11990,SEAT IBIZA URBAN S/S,Thiais
2014,Automatique,Diesel,10150,80783,21900,MERCEDES CLA CLASSE 220 CDI - SENSATION 7-G,Lavau
2005,Automatique,Essence,13200,139000,39900,MERCEDES G 500 V8 AMG GARANTIE 12 MOIS,Arles
2016,Manuelle,Essence,88000,25500,90990,PORSCHE CAYMAN GT4 981 3.8 385CV CLUBSPORT BM6 PCM / PSE / PDLS / LIVRAISON POSSIBLE,Epinal
2021,Automatique,Hybride,37170,701,47200,MERCEDES CLA CLASSE SHOOTING BRAKE AMG LINE 250E 8G-DCT + P,Chambray-lès-Tours
2019,Automatique,Diesel,85150,44232,27778,MERCEDES CLA CLASSE SHOOTING BRAKE 200 D 7G-DCT SENSATION,Les Achards
2018,Automatique,Diesel,39100,75678,27990,MERCEDES CLA CLASSE 200 D INSPIRATION 7G-DCT,Foucherans
2017,Automatique,Diesel,44850,25000,23250,MERCEDES CLA CLASSE SHOOTING BRAKE 200 CDI,Ligné
2015,Automatique,Essence,68170,24934,26000,MERCEDES CLA CLASSE SHOOTING BRAKE 200 SENSATION BVA,Rixheim
2019,Automatique,Essence,25460,9000,34990,MERCEDES CLASSE CLA SHOOTING BRAKE 200 7G-DCT AMG LINE 163CH,Etupes
2016,Automatique,Diesel,73460,60000,23990,CLASSE B 220D 177 FASCINATION 4MATIC 7G-DCT AMG LINE 04/2016 TOIT PANO SEMI CUIR CAMERA,Frontenex
2018,Automatique,Diesel,17138,56413,24990,MERCEDES CLA CLASSE SHOOTING BRAKE 200 D SENSATION 7G-DCT EURO6C,Puilboreau
2018,Automatique,Diesel,71330,75678,27990,MERCEDES CLA CLASSE 200 D INSPIRATION 7G-DCT,Simard
2015,Manuelle,Diesel,37170,104190,18900,MERCEDES CLA CLASSE SENSATION 180 CDI,Chambray-lès-Tours
2018,Automatique,Essence,26000,42073,32990,MERCEDES CLASSE C BENZ 180 FASCINATION 9G-TRONIC,Valence
2019,Automatique,Diesel,88150,44232,27778,MERCEDES CLA CLASSE SHOOTING BRAKE 200 D 7G-DCT SENSATION,Chavelot
2021,Automatique,Hybride,10150,827,47200,MERCEDES CLA CLASSE SHOOTING BRAKE AMG LINE,Lavau
2014,Automatique,Diesel,78200,80652,21900,MERCEDES CLA CLASSE 220 CDI - SENSATION 7-G DCT A,Buchelay
2018,Automatique,Essence,88150,37946,28808,MERCEDES CLA CLASSE SHOOTING BRAKE 200 7-G DCT A WHITE ART EDITION,Chavelot
2020,Automatique,Essence,77420,22399,37490,MERCEDES CLA CLASSE SHOOTING BRAKE 200 163CH AMG LINE 7G-DCT 9CV,Champs-sur-Marne
2020,Automatique,Diesel,60000,16351,43900,MERCEDES CLA CLASSE 220 D 190CH AMG LINE 8G-DCT,Beauvais
2019,Automatique,Diesel,34500,33410,28390,MERCEDES CLA CLASSE SHOOTING BRAKE 200 D FASCINATION 7G-DCT EURO6C,Béziers
2018,Automatique,Diesel,21550,69900,27152,MERCEDES CLA CLASSE SHOOTING BRAKE 220 D 7-G DCT FASCINATION,Ladoix-Serrigny
2017,Automatique,Diesel,33360,139000,20990,MERCEDES CLASSE CLA 220 177 CH SHOOTING BRAKE CAMÉRA/TOIT OUVRANT,Latresne
2014,Automatique,Diesel,59670,98500,20000,MERCEDES CLASSE CLA,Noordpeene
2018,Automatique,Diesel,26200,49477,27290,MERCEDES CLA CLASSE SHOOTING BRAKE 200 D 7-G DCT SENSATION,Montélimar
2018,Automatique,Diesel,59600,86930,23990,MERCEDES CLA SHOOTING BRAKE 200 D PACK AMG,Maubeuge
2014,Automatique,Diesel,37170,81006,21900,MERCEDES CLA CLASSE 220 CDI - SENSATION 7-G DCT A,Chambray-lès-Tours
2015,Automatique,Diesel,47550,99990,23990,MERCEDES CLA 7G-DCT 177 CV FASCINATION TO,Boé -Cité
2017,Manuelle,Essence,43200,35000,24900,MERCEDES COUPÉE CLA,Yssingeaux
2014,Automatique,Diesel,59600,133814,16500,MERCEDES CLASSE CLA,Assevent
2014,Automatique,Essence,76520,83000,29800,MERCEDES GLA45AMG SOUS GARANTIE,Boos
2016,Automatique,Essence,93430,107000,29500,MERCEDES CLASSE GLA BENZ 45 AMG 381CH 4MATIC,Villetaneuse
2018,Automatique,Diesel,34400,32600,22800,VEND MERCEDES CLA 180 D,Lunel
2014,Automatique,Diesel,85700,180000,18500,MERCEDES CLA 200D FASCINATION PACK AMG,Montournais
2015,Automatique,Diesel,59890,83783,26990,MERCEDES CLASSE CLA 220 CDI 177 CH BVA GPS FASCINATION 83.783KM,Quesnoy-sur-Deûle
2012,Automatique,Diesel,33450,60500,17900,MERCEDES CLASSE C 220 CDI III PHASE 2 (PACK AMG) 170 CH SPORTLINE 7G-TRONIC 60500KM,Saint-Sulpice-et-Cameyrac
2015,Automatique,Diesel,80090,82000,23499,MERCEDES CLASSE CLA 200 D FASCINATION 7-G DCT A,Amiens -Val d'Avre
2017,Automatique,Diesel,34770,70000,26990,MERCEDES CLASSE C IV 220 D SPORTLINE 9G-TRONIC PLUS PACK AMG 2° MAIN {CLICK & COLLECT POSSIBLE},Gigean
2017,Automatique,Diesel,8000,49424,29990,MERCEDES CLA CLASSE 220 D FASCINATION 4MATIC 7G-DCT,Charleville-Mézières
2005,Automatique,Essence,13200,139000,39900,MERCEDES G 500 V8 AMG GARANTIE 12 MOIS,Arles
2014,Manuelle,Diesel,51430,109935,17290,MERCEDES CLA CLASSE 180 CDI SENSATION,Tinqueux
2015,Manuelle,Diesel,25200,55000,17490,MERCEDES CLASSE C 180 D AMG SPORTLINE,Grand-Charmont
2015,Manuelle,Diesel,80000,120000,19400,MERCEDES CLA FASCINATION 7-G DCT PACK AMG,Amiens
2020,Automatique,Diesel,68130,14000,43500,MERCEDES CLA 220 AMG,Altkirch
2018,Automatique,Diesel,6270,155000,18000,MERCEDES CLASSE A200 AMG 2017 PHASE 2,Villeneuve-Loubet
2019,Manuelle,Essence,34430,22000,11990,FIAT TIPO 1.4 95CH S/S EASY MY19 5PTES 22.000KM 1°M,Saint-Jean-de-Védas
2020,Automatique,Essence,68100,10000,39990,MERCEDES CLASSE CLA 200 CLA200 163CV 163 CH AMG,Mulhouse
2016,Automatique,Diesel,73460,60000,23990,CLASSE B 220D 177 FASCINATION 4MATIC 7G-DCT AMG LINE 04/2016 TOIT PANO SEMI CUIR CAMERA,Frontenex
2014,Automatique,Diesel,52100,63000,21990,MERCEDES CLA CLASSE 200D 136 FASCINATION PACK AMG 7G-DCT,Bettancourt-la-Ferrée
2016,Automatique,Diesel,15130,72500,23990,MERCEDES CLA CLASSE 220 2.2 CDI 170 LAUNCH AMG,Lafeuillade-en-Vézie
2019,Automatique,Essence,61100,10900,61900,MERCEDES CLA CLASSE 45 MERCEDES-AMG SPEEDSHIFT DCT AMG 4MATIC,La Chapelle-au-Moine
2018,Automatique,Essence,85150,37946,28808,MERCEDES CLA CLASSE SHOOTING BRAKE 200 7-G DCT A WHITE ART EDITION,Les Achards
2021,Automatique,Hybride,91700,11000,41990,MERCEDES CLASSE A BERLINE 250 E AMG LINE 8G-DCT 160+102 CV ORIGINE FRANCE,Sainte-Geneviève-des-Bois
2020,Automatique,Diesel,88190,12500,35990,MERCEDES CLA CLASSE AMG 180 COUPÉ 116CV 7G-DCT,Golbey
2019,Automatique,Diesel,51430,41000,32990,MERCEDES CLA CLASSE COUPE 180 D 7G-DCT AMG LINE,Tinqueux
2016,Automatique,Diesel,49440,119790,20990,MERCEDES CLA CLASSE 200 D SENSATION BA7,Candé
2016,Automatique,Diesel,6000,70000,28690,MERCEDES CLASSE C COUPE 220 SPORTLINE D 9G-TRONIC,Nice Madeleine
2019,Automatique,Diesel,57525,44232,27778,MERCEDES CLA CLASSE SHOOTING BRAKE 200 D 7G-DCT SENSATION,Talange
2014,Automatique,Diesel,26200,120000,17990,MERCEDES CLA 220 CDI 7G-DCT BUSINESS EXECUTIVE,Montélimar
2015,Automatique,Diesel,66470,92000,20000,MERCEDES CLASSE CLA 220 CDI 2015,Sainte-Marie-la-Mer
2018,Automatique,Essence,26000,80000,42500,MERCEDES CLA SHOOTING BRAKE 45 AMG 4MATIC 380 CH - ORIGINE FRANÇAISE - 399 EUROS/MOIS,Valence
2019,Automatique,Diesel,54520,44232,27778,MERCEDES CLA CLASSE SHOOTING BRAKE 200 D 7G-DCT SENSATION,Laxou
2019,Automatique,Essence,57500,25137,56650,MERCEDES CLASSE C -19% BREAK 364CV AMG 4X4 43E BVA,Saint-Avold
2016,Manuelle,Diesel,51430,117500,18990,MERCEDES CLA CLASSE SHOOTING BRAKE 180 D FASCINATION,Tinqueux
2017,Automatique,Essence,75015,40921,45990,MERCEDES CLA CLASSE 45 SPEEDSHIFT AMG 4MATIC,Paris 15e Arrondissement
2019,Automatique,Diesel,37700,98000,24790,MERCEDES CLA 200D PACK AMG 7G-DCT 1ERE MAIN,Saint-Pierre-des-Corps
2017,Automatique,Diesel,78240,72000,20490,MERCEDES-BENZ CLASSE CLA 200 D BUSINESS COUPÉ PHASE 2 2.1 CDI 7G-DCT 136 CV BOÎTE AUTO,Chambourcy
2018,Automatique,Essence,88100,37000,25990,MERCEDES CLA 200 1 6 I TURBO 156 SENSATION 7G-DCT,Sainte-Marguerite
2019,Automatique,Diesel,33530,44232,27778,MERCEDES CLA CLASSE SHOOTING BRAKE 200 D 7G-DCT SENSATION,Bassens
2014,Automatique,Diesel,13830,69061,19490,MERCEDES CLA BENZ I (C117) 180 SENSATION,Roquefort-la-Bédoule
2021,Automatique,Diesel,77144,9000,54975,MERCEDES CLA CLASSE 220 D 190CH AMG LINE 8G-DCT,Montévrain
2015,Automatique,Diesel,59240,116500,20490,MERCEDES CLA CLASSE 200 CDI FASCINATION BVA,Dunkerque
2005,Automatique,Essence,13200,139000,39900,MERCEDES G 500 V8 AMG GARANTIE 12 MOIS,Arles
2017,Automatique,Diesel,85360,44000,27900,MERCEDES CLA 200D SHOOTING BREAK,La Tranche-sur-Mer
2018,Automatique,Diesel,80136,69021,24990,MERCEDES CLA CLASSE SHOOTING BRAKE 200 D SENSATION 7G-DCT EURO6C,Rivery
2021,Automatique,Essence,69007,9000,32390,MERCEDES CLA 180 PROGRESSIVE LINE NIGHT - AUTRES DISPO,Lyon
2017,Automatique,Diesel,24100,94000,26990,MERCEDES CLA CLASSE 220 177CH 4M SHOOTINGBRAKE AMG,Bergerac
2015,Automatique,Diesel,59890,83783,26990,MERCEDES CLASSE CLA 220 CDI 177 CH BVA GPS FASCINATION 83.783KM,Quesnoy-sur-Deûle
2017,Manuelle,Diesel,57360,122000,19990,CLA 180 D FASCINATION AMG *2017* TOIT PANO* CRÉDIT /REPRISE,Amnéville
2016,Automatique,Diesel,62360,89284,25990,MERCEDES CLA 220 CDI 177 CV GPS BVA (LAURENT AUTO),Saint-Léonard
2015,Manuelle,Diesel,31200,77047,18550,MERCEDES CLA CLASSE 180 CDI SENSATION,Toulouse
2016,Automatique,Essence,60840,82600,27900,MERCEDES CLA 250 SPORT PACK AMG PERFORMANCE,Catenoy
2020,Automatique,Essence,76260,15708,38890,MERCEDES CLA CLASSE II SB 200 AMG LINE 7G-DCT,Eu
2015,Automatique,Hybride,31840,80600,13980,PEUGEOT 508 2.0 HYBRID 4 ALLURE 163+37 ELEC,Aussonne
2015,Manuelle,Diesel,62360,99999,20990,MERCEDES CLASSE CLA SHOOTING BRAKE 200 CDI 136 CV GPS TEL (KS MOTORS),Saint-Léonard
2016,Automatique,Diesel,73460,60000,23990,CLASSE B 220D 177 FASCINATION 4MATIC 7G-DCT AMG LINE 04/2016 TOIT PANO SEMI CUIR CAMERA,Frontenex
2015,Automatique,Diesel,13008,93505,18690,MERCEDES CLA CLASSE 180 CDI SENSATION 7-G DCT A,Marseille 8e Arrondissement
2017,Automatique,Diesel,78420,60000,26990,MERCEDES-BENZ CLASSE C 220D CDI SPORTLINE BERLINE 2.1 CDI 16V 7G-TRONIC+ BLUETEC 170 CV BOÎTE AUTO,Carrières-sur-Seine
1993,Manuelle,Essence,13200,150000,12990,CLIO 16S RESTAURATION COMPLÈTE,Arles
2009,Manuelle,Essence,13200,140000,7490,FIAT 500 CABRIOLET REPRISE POSSIBLE,Arles
2014,Automatique,Diesel,26240,134400,19898,MERCEDES CLA PACK AMG INT EXT GPS TOIT OUVRANT 200 CDI BVA7 136CH,Laveyron La Croix des Mailles
2016,Automatique,Diesel,76530,140500,18999,MERCEDES CLA CLASSE SHOOTING BRAKE 220 CDI 177CV,Grand-Couronne
2017,Automatique,Diesel,31200,82142,21990,MERCEDES-BENZ CLASSE CLA 200 D SENSATION 7G-DCT,Toulouse Sept Deniers-Ginestous
2019,Automatique,Diesel,35137,49865,59900,MERCEDES CLASSE E 400D COUPE 340CH AMG-LINE 4MATIC 9G-TRONIC,Pleumeleuc
2018,Automatique,Diesel,7100,52000,27500,MERCEDES CLA 220 SHOOTING BREAK,Annonay
2017,Manuelle,Diesel,78100,247002,18999,MERCEDES CLA CLASSE BUSINESS 200 D EXECUTIVE,Saint-Germain-en-Laye
2015,Manuelle,Diesel,51100,105000,18990,MERCEDES CLA 200D FASCINATION PACK AMG,Reims
2017,Automatique,Diesel,87220,42526,28980,MERCEDES CLA CLASSE SHOOTING BRAKE 180 D 7-G DCT FASCINATION,Feytiat
2019,Manuelle,Essence,91600,12300,29900,MERCEDES A 180 A180 / AMG LINE / MBUX / GPS / CAM / LUM INT,Savigny-sur-Orge
2016,Automatique,Diesel,91210,79000,24490,GLA,Draveil
2019,Automatique,Diesel,74600,38000,31490,MERCEDES CLA CLASSE 200 D 150CH PROGRESSIVE LINE,Annecy Seynod
2019,Automatique,Diesel,74600,38000,31490,MERCEDES CLA CLASSE 200 D 150CH PROGRESSIVE LINE,Annecy Seynod
2015,Automatique,Essence,31400,64597,22499,MERCEDES CLA CLASSE SHOOTING BRAKE 200 SENSATION 7-G DCT A,Toulouse Pont Demois.-Montaudran-la Terrasse
2021,Automatique,Hybride,42000,17239,45990,MERCEDES CLA CLASSE COUPE COUPÉ 250 E 8G-DCT AMG LINE,Saint-Etienne Montreynaud-Molina-le Marais
2016,Automatique,Diesel,33520,39000,27990,MERCEDES-BENZ CLASSE CLA COUPÉ PHASE 2 CLA 220 2.1 CDI 16V 4MATIC 7G-DCT 177 CV BOÎTE AUTO,Bruges
2014,Automatique,Essence,44700,81900,35900,MERCEDES CLA 45 AMG ÉDITION 1,Orvault
2017,Manuelle,Diesel,38200,57628,19980,MERCEDES CLA CLASSE 180 D INSPIRATION,Vienne
2017,Automatique,Diesel,88190,130009,24990,MERCEDES CLASSE CLA 200 SHOOTING BRAKE WHITEART EDITION (FASCINATION) 7G-DCT,Golbey
2019,Automatique,Diesel,88190,57118,31990,MERCEDES CLASSE CLA 200 D 200D 136CH FASCINATION AMG 7G-DCT,Golbey
2018,Manuelle,Diesel,95310,59650,21990,MERCEDES CLASSE CLA180 CLA 180 FASCINATION AMG PHASE 2 CUIR GPS XÉNONS TOIT OUVRANT GARANTIE 12 MOIS,Saint-Ouen-l'Aumône
2005,Automatique,Essence,13200,139000,39900,MERCEDES G 500 V8 AMG GARANTIE 12 MOIS,Arles
2017,Manuelle,Diesel,95310,117050,18990,MERCEDES CLASSE CLA180 CLA 180 FASCINATION AMG PHASE 2 CUIR GPS XÉNONS GARANTIE 12 MOIS,Saint-Ouen-l'Aumône
2015,Automatique,Diesel,1100,225000,17990,MERCEDES C220 170 PACK AMG 43 SPORTLINE 7G-TRONIC 2014 [GARANTIE1AN],Oyonnax
2015,Automatique,Essence,13008,98661,20590,MERCEDES CLA CLASSE 200 SENSATION 7-G DCT A,Marseille
2020,Automatique,Essence,69006,9277,35550,MERCEDES-BENZ CLA 180 AMG,Lyon
2015,Automatique,Diesel,59890,83783,26990,MERCEDES CLASSE CLA 220 CDI 177 CH BVA GPS FASCINATION 83.783KM,Quesnoy-sur-Deûle
2020,Manuelle,Essence,69006,9960,30050,MERCEDES-BENZ CLA 180 COUPÉ,Lyon
2020,Manuelle,Essence,69006,6910,30040,MERCEDES-BENZ CLA 180 SB PROGRESSIVE,Lyon
2019,Automatique,Diesel,85000,63894,25900,MERCEDES CLA 200 D 2.2 CDI FASCINATION,Mouilleron-le-Captif
2018,Automatique,Essence,33530,37946,28808,MERCEDES CLA CLASSE SHOOTING BRAKE 200 7-G DCT A WHITE ART EDITION,Bassens
2019,Automatique,Essence,91700,41000,30990,MERCEDES CLASSE A BERLINE AMG 200 1.3 TI 7G-DCT 163 CV,Sainte-Geneviève-des-Bois
